year,country,type,latitude,longitude,month,day,elevation,vei,tsu
1902.0,St. Vincent & the Grenadines,Stratovolcano,13.33,-61.18,5.0,7.0,1220.0,4.0,1
1902.0,Martinique,Stratovolcano,14.809,-61.166,5.0,8.0,1372.0,4.0,1
1902.0,Martinique,Stratovolcano,14.809,-61.166,5.0,20.0,1372.0,4.0,1
1902.0,Martinique,Stratovolcano,14.809,-61.166,6.0,6.0,1372.0,4.0,1
1902.0,Martinique,Stratovolcano,14.809,-61.166,7.0,10.0,1372.0,4.0,1
1902.0,Japan,Stratovolcano,30.484,140.303,8.0,7.0,394.0,3.0,0
1902.0,Martinique,Stratovolcano,14.809,-61.166,8.0,30.0,1372.0,4.0,1
1902.0,Guatemala,Stratovolcano,14.757,-91.552,10.0,25.0,3745.0,6.0,0
1903.0,New Zealand,Lava dome,-38.157,176.507,8.0,30.0,1111.0,1.0,0
1904.0,Comoros,Shield volcano,-11.75,43.38,2.0,25.0,2361.0,2.0,0
1905.0,Italy,Complex volcano,40.821,14.426,3.0,10.0,1281.0,2.0,0
1905.0,Samoa,Shield volcano,-13.612,-172.525,8.0,4.0,1858.0,2.0,1
1906.0,Italy,Complex volcano,40.821,14.426,4.0,4.0,1281.0,3.0,1
1906.0,Samoa,Shield volcano,-13.612,-172.525,11.0,28.0,1858.0,2.0,1
1907.0,Samoa,Shield volcano,-13.612,-172.525,6.0,8.0,1858.0,2.0,1
1907.0,Samoa,Shield volcano,-13.612,-172.525,6.0,19.0,1858.0,2.0,1
1907.0,Samoa,Shield volcano,-13.612,-172.525,6.0,27.0,1858.0,2.0,1
1907.0,Samoa,Shield volcano,-13.612,-172.525,7.0,9.0,1858.0,2.0,1
1907.0,Samoa,Shield volcano,-13.612,-172.525,7.0,25.0,1858.0,2.0,1
1907.0,Ethiopia,Shield volcano,12.888,40.573,8.0,4.0,1496.0,2.0,0
1907.0,Indonesia,Stratovolcano,-8.542,122.775,9.0,28.0,1703.0,2.0,0
1909.0,Cameroon,Stratovolcano,4.203,9.17,4.0,28.0,4095.0,2.0,0
1910.0,Japan,Stratovolcano,42.544,140.839,7.0,25.0,733.0,2.0,0
1911.0,Philippines,Stratovolcano,14.011,120.998,1.0,30.0,311.0,3.0,1
1911.0,Japan,Complex volcano,36.406,138.523,5.0,8.0,2568.0,2.0,0
1911.0,Japan,Complex volcano,36.406,138.523,8.0,15.0,2568.0,2.0,0
1911.0,Indonesia,Stratovolcano,-8.108,112.922,11.0,8.0,3657.0,3.0,0
1912.0,United States,Caldera,58.266,-155.159,9.0,6.0,841.0,6.0,0
1912.0,"Congo, DRC",Shield volcano,-1.408,29.2,12.0,3.0,3058.0,3.0,0
1913.0,Mexico,Stratovolcano,19.514,-103.62,1.0,20.0,3850.0,4.0,0
1913.0,Indonesia,Stratovolcano,3.689,125.447,3.0,14.0,1318.0,2.0,1
1913.0,Japan,Complex volcano,36.406,138.523,5.0,29.0,2568.0,1.0,0
1913.0,Indonesia,Stratovolcano,-8.108,112.922,6.0,23.0,3657.0,2.0,0
